cfg,bfs_time,agent_time,bfs_steps,agent_steps,agent_success,speedup(×)
3_1_4,0.00018521722561171355,0.0004090080105828399,4.510204081632653,5.074468085106383,0.9591836734693877,0.45284498303047277
3_1_5,0.00023154218178341522,0.0005096236633582283,5.276595744680851,5.967391304347826,0.9787234042553191,0.45433954196247345
4_1_4,0.0004737313336077839,0.0006877390674755746,7.589743589743589,8.195652173913043,0.5897435897435898,0.6888242300189071
4_1_5,0.0006725104626028368,0.0009211528352655781,9.64179104477612,10.633333333333333,0.44776119402985076,0.7300747898245842
4_2_4,0.0021113058902847114,0.0003851199397468008,4.39,4.39,1.0,5.482203522551445
4_2_5,0.005039233750867424,0.000517798329674406,5.65,5.65,1.0,9.732039410084845
5_1_4,0.001066709138160827,0.0009886007489209685,10.862745098039216,10.833333333333334,0.23529411764705882,1.0790090330450506
5_1_5,0.0015597402326723872,0.0013913746661273763,14.466666666666667,15.333333333333334,0.1,1.1210066351241137
5_2_4,0.029834229560074164,0.000921776050653525,8.18,8.676767676767676,0.99,32.36602810294556
5_2_5,0.05889446921006311,0.0010252866499649827,9.86,10.63,1.0,57.44195461052241
6_2_4,0.20323499131860445,0.0014456737163096765,11.11,12.6,0.95,140.58150814099028
6_2_5,0.5358304517109355,0.0020900013126177535,14.65,16.93548387096774,0.93,256.3780455428523
7_2_4,1.091888227470481,0.0021097803137048944,14.42,17.8,0.7,517.5364564631202
7_2_5,3.1085628438593993,0.0026774087737925036,18.59,22.867924528301888,0.53,1161.0340842560897
